DESCRIPTION,NAME,GEOMETRY,TYPE
"Highway 60<br>East Bernard, TX 77435<br>(979) 335-7921",Vincek's Smokehouse,"<Point><coordinates>-96.090278,29.599763,0.0</coordinates></Point>",BBQ Stand
"18300 FM 1826<br>Driftwood, TX 78619<br>(512) 858-4959<br><br>Honorable Mention 2008",Salt Lick BBQ,"<Point><coordinates>-98.016849,30.131513,0.0</coordinates></Point>",BBQ Stand
"9913 US Highway 59 N<br>Fannin, TX 77960<br>(361) 645-2326",Mc Millan's Bar-BQ & Catering,"<Point><coordinates>-97.23311,28.69754,0.0</coordinates></Point>",BBQ Stand
"6262 Mccart Ave<br>Fort Worth, TX 76133<br>(817) 346-2511",Cousin's Pit Barbecue,"<Point><coordinates>-97.363566,32.653814,0.0</coordinates></Point>",BBQ Stand
"101 W Austin St<br>Giddings, TX 78942<br>(979) 542-2740",City Meat Market,"<Point><coordinates>-96.937344,30.182891,0.0</coordinates></Point>",BBQ Stand
"102 N 77 Sunshine Strip,<br>Harlingen, TX 78550<br>(956) 364-1266",Smokey Joe's BBQ,"<Point><coordinates>-97.679946,26.192801,0.0</coordinates></Point>",BBQ Stand
"1301 19th St<br>Hondo, TX 78861<br>(830) 426-4045",McBee's Bar-B-Que,"<Point><coordinates>-99.142829,29.347448,0.0</coordinates></Point>",BBQ Stand
"8307 De Priest St<br>Houston, TX 77088<br>(281) 445-7574",Burns Bar BQ,"<Point><coordinates>-95.420732,29.876702,0.0</coordinates></Point>",BBQ Stand
"5535 Gessner Dr<br>Houston, TX 77041<br>(713) 466-6525",Virgie's BBQ,"<Point><coordinates>-95.545223,29.847343,0.0</coordinates></Point>",BBQ Stand
"206 W 2nd St<br>Taylor, TX 76574<br>(512) 352-6206",Louie Mueller Barbecue,"<Point><coordinates>-97.410678,30.568633,0.0</coordinates></Point>",BBQ Stand
"2601 Montgomery Rd<br>Huntsville, TX 77340<br>(936) 295-2349",New Zion Missionary Baptist Ch,"<Point><coordinates>-95.54398,30.703747,0.0</coordinates></Point>",BBQ Stand
"1217 S Jackson St<br>Jacksonville, TX 75766<br>(903) 586-1951",Stacy's Bar-BQ,"<Point><coordinates>-95.264716,31.953252,0.0</coordinates></Point>",BBQ Stand
"213 Schreiner St<br>Kerrville, TX 78028<br>(830) 257-4540",Buzzie's Bar-BQ,"<Point><coordinates>-99.143313,30.053197,0.0</coordinates></Point>",BBQ Stand
"401 Sidney Baker St S<br>Kerrville, TX 78028<br>(830) 896-5656",Big Earl's Texas Style BBQ,"<Point><coordinates>-99.144509,30.039669,0.0</coordinates></Point>",BBQ Stand
"State Highway 31 & FM 2767<br>Kilgore, TX 75662<br>(903) 984-9954",Country Tavern Barbecue,"<Point><coordinates>-94.97104,32.37794,0.0</coordinates></Point>",BBQ Stand
"320 E 3rd St<br>Kountze, TX 77625<br>(409) 246-8050",Caroline's Quality & Quantity,"<Point><coordinates>-94.175353,30.349261,0.0</coordinates></Point>",BBQ Stand
"1000 Highway 78<br>Lavon, TX 75166<br>(972) 843-5200",Big Daddy's Roadhouse BBQ,"<Point><coordinates>-96.456703,33.022379,0.0</coordinates></Point>",BBQ Stand
"604 W Young St<br>Llano, TX 78643<br>(325) 247-5713",Coopers Bar B Que Restaurant,"<Point><coordinates>-98.681636,30.759519,0.0</coordinates></Point>",BBQ Stand
"502 San Antonio St<br>Mason, TX 76856<br>(325) 347-6897",Cooper's Bar-BQ,"<Point><coordinates>-99.224776,30.742175,0.0</coordinates></Point>",BBQ Stand
"11025 Fm-917<br>Lillian, TX 76061<br>(817) 790-2545",Casstevens Cash & Carry,"<Point><coordinates>-97.185868,32.506943,0.0</coordinates></Point>",BBQ Stand
"31230 Highway 100<br>Los Fresnos, TX 78566<br>(956) 233-8185",Wild Blue Barbecue,"<Point><coordinates>-97.51978,26.074977,0.0</coordinates></Point>",BBQ Stand
"3006 34th St<br>Lubbock, TX 79410<br>(806) 799-1514",Tom & Bingo's Hickory Pit BBQ,"<Point><coordinates>-101.879231,33.563309,0.0</coordinates></Point>",BBQ Stand
"709 E Davis St<br>Luling, TX 78648<br>(830) 875-3848",Luling Bar-BQ,"<Point><coordinates>-97.646204,29.681163,0.0</coordinates></Point>",BBQ Stand
"1203 Bennett St<br>Marlin, TX 76661<br>(254) 883-5770",Whup's Boomerang Barbecue,"<Point><coordinates>-96.89623,31.294874,0.0</coordinates></Point>",BBQ Stand
"1901 S Stockton Ave<br>Monahans, TX 79756<br>(432) 943-9300",Pappy's Bar BQ,"<Point><coordinates>-102.891765,31.576646,0.0</coordinates></Point>",BBQ Stand
"Exit 65 Ih 37<br>Oakville, TX 78060<br>(361) 786-3995",Van's Barbeque,"<Point><coordinates>-98.182065,28.461696,0.0</coordinates></Point>",BBQ Stand
"FM 2419 at U.S. 287<br>Palestine, TX 75801<br>(903) 729-8402<br><br>4 (2008)",Baby J's Bar-B-Que & Fish,"<Point><coordinates>-95.58581,31.70988,0.0</coordinates></Point>",BBQ Stand
"1528 Lamar Ave<br>Paris, TX 75460<br>(903) 739-8080",Scholl Brothers Bar BQ,"<Point><coordinates>-95.540285,33.661235,0.0</coordinates></Point>",BBQ Stand
"8131 N Highway 281<br>Mineral Wells, TX 76067<br>(940) 325-5150",Hash Knife,"<Point><coordinates>-98.074444,32.921684,0.0</coordinates></Point>",BBQ Stand
"855 W. Comal (Texas Hwy. 140)<br>Pearsall, TX 78061<br>(830) 334-8000<br><br>4.25 (2008)",Cowpokes TExas-Style Bar-B-Que,"<Point><coordinates>-99.105561,28.892442,0.0</coordinates></Point>",BBQ Stand
"3306 Roland Rd<br>San Antonio, TX 78210<br>(210) 333-9548",Smoke House,"<Point><coordinates>-98.434288,29.396749,0.0</coordinates></Point>",BBQ Stand
"3055 W Expressway 83<br>San Benito, TX 78586<br>(956) 399-4400",Longhorn Cattle Company Barbeque & Steak Restaurant,"<Point><coordinates>-97.669039,26.15064,0.0</coordinates></Point>",BBQ Stand
"200 S Montgomery St<br>Sherman, TX 75090<br>(903) 892-3435",OO Smoke House,"<Point><coordinates>-96.606687,33.636016,0.0</coordinates></Point>",BBQ Stand
"9504 E State Highway 71<br>Spicewood, TX 78669<br>(830) 693-8660",Opie's Barbecue,"<Point><coordinates>-98.159467,30.461603,0.0</coordinates></Point>",BBQ Stand
"101 N Main St<br>Taylor, TX 76574<br>(512) 352-8475",Taylor Cafe,"<Point><coordinates>-97.409383,30.567708,0.0</coordinates></Point>",BBQ Stand
"525 S Beckham Ave<br>Tyler, TX 75702<br>(903) 593-0311<br><br>4 (2003)",Stanley's Famous Pit BBQ,"<Point><coordinates>-95.293895,32.344332,0.0</coordinates></Point>",BBQ Stand
"1700 E Amarillo Blvd # A<br>Amarillo, TX 79107<br>(806) 373-7383",Beans N Things Bar-B-Que,"<Point><coordinates>-101.814071,35.22194,0.0</coordinates></Point>",BBQ Stand
"2010 S Bridge St<br>Brady, TX 76825<br>(325) 597-1936",Hard-Eight Pit Bar B Que,"<Point><coordinates>-99.335673,31.11561,0.0</coordinates></Point>",BBQ Stand
"1800 S Akard St<br>Dallas, TX 75215<br>(214) 428-7427",Baby Back Shak,"<Point><coordinates>-96.790105,32.767866,0.0</coordinates></Point>",BBQ Stand
"114 E Loeb St<br>Edinburg, TX 78541<br>(956) 318-1373",Willie B's Barbeque No 2,"<Point><coordinates>-98.161706,26.304417,0.0</coordinates></Point>",BBQ Stand
"105 S La Grange St<br>Hallettsville, TX 77964<br>(361) 798-2770",Novosad's BBQ & Sausage Market,"<Point><coordinates>-96.942373,29.444639,0.0</coordinates></Point>",BBQ Stand
"Hebbronville, TX<br>361-527-2566<br><br>Honorable Mention 2008",Longhorn Barbeque,"<Point><coordinates>-98.67837,27.30716,0.0</coordinates></Point>",BBQ Stand
"1303 Zanderson Ave<br>Jourdanton, TX 78026<br>(830) 769-2634",McBee's Bar-B-Que,"<Point><coordinates>-98.546427,28.918375,0.0</coordinates></Point>",BBQ Stand
"519 S Eastman Rd<br>Longview, TX 75602<br>(903) 236-3271",Carter's Bar-B-Que,"<Point><coordinates>-94.707295,32.486216,0.0</coordinates></Point>",BBQ Stand
"18200 FM 1488<br>Magnolia, TX 77354<br>281-356-7489<br><br>Honorable Mention 2008",The Pit Bar-B-Que Texas-Style,"<Point><coordinates>-95.747836,30.216339,0.0</coordinates></Point>",BBQ Stand
"3619 N 10th St<br>Mcallen, TX 78501<br>(956) 664-9988",Lone Star Bar-BQ,"<Point><coordinates>-98.224607,26.235516,0.0</coordinates></Point>",BBQ Stand
"309 2nd St<br>Pleasanton, TX 78064<br>(830) 569-2602",Mc Bee's Barbecue,"<Point><coordinates>-98.479972,28.964212,0.0</coordinates></Point>",BBQ Stand
"Highway 77<br>Robstown, TX 78380<br>(361) 767-9973",Cotten's Bar BQ,"<Point><coordinates>-97.63601,27.81956,0.0</coordinates></Point>",BBQ Stand
"1701 S I H 35<br>San Marcos, TX 78666<br>(512) 353-2712",Fuschak's Pit Bar-BQ,"<Point><coordinates>-97.947823,29.861179,0.0</coordinates></Point>",BBQ Stand
"307 Royston St<br>Smithville, TX 78957<br>(512) 237-4244",Zimmerhanzel's Bar-B-Que,"<Point><coordinates>-97.163311,30.010883,0.0</coordinates></Point>",BBQ Stand
"1091 Glen Rose Rd<br>Stephenville, TX 76401<br>(254) 968-5552",Hard Eight Barbeque,"<Point><coordinates>-98.188556,32.212152,0.0</coordinates></Point>",BBQ Stand
"2117 Lamar St<br>Sweetwater, TX 79556<br>(325) 235-2700",Big Boys Barbecue,"<Point><coordinates>-100.397727,32.447399,0.0</coordinates></Point>",BBQ Stand
"6701 Burnet Rd<br>Austin, TX 78757<br>(512) 323-9112",BBQ World Headquarters,"<Point><coordinates>-97.738512,30.342875,0.0</coordinates></Point>",BBQ Stand
"1917 Manor Rd<br>Austin, TX 78722<br>(512) 236-0283<br><br>4.5 (2003)",John Mueller's Bbq,"<Point><coordinates>-97.721544,30.283853,0.0</coordinates></Point>",BBQ Stand
"616 Buchanan Dr<br>Burnet, TX 78611<br>(512) 756-6468",Burnet County Bar BQ,"<Point><coordinates>-98.235163,30.75775,0.0</coordinates></Point>",BBQ Stand
"2nd & Main St<br>Canadian, TX 79014<br>(806) 323-6755",Cattle Exchange,"<Point><coordinates>-100.38484,35.91495,0.0</coordinates></Point>",BBQ Stand
"1501 N Frazier St<br>Conroe, TX 77301<br>(936) 539-4300",McKenzie's Barbeque,"<Point><coordinates>-95.464634,30.323321,0.0</coordinates></Point>",BBQ Stand
"4931 Ih 37<br>Corpus Christi, TX 78408<br>(361) 888-4248",Bar-BQ Man Restaurant,"<Point><coordinates>-97.445986,27.802742,0.0</coordinates></Point>",BBQ Stand
"4844 Greenville Ave<br>Dallas, TX 75206<br>(214) 373-0082",Baker's Ribs,"<Point><coordinates>-96.769976,32.846807,0.0</coordinates></Point>",BBQ Stand
"2202 Inwood Rd<br>Dallas, TX 75235<br>(214) 357-7120",Sonny Bryan's Smokehouse,"<Point><coordinates>-96.840857,32.817437,0.0</coordinates></Point>",BBQ Stand
"202 S Avenue C<br>Elgin, TX 78621<br>(512) 281-5594",Crosstown Bar-BQ,"<Point><coordinates>-97.37079,30.345639,0.0</coordinates></Point>",BBQ Stand
"11420 Rojas Drive<br>El Paso, TX 79936<br>(915) 595-0114",Chris' Brisket DBA The Brisket BBQ,"<Point><coordinates>-106.318426,31.739967,0.0</coordinates></Point>",BBQ Stand
"100 Christopher Dr<br>Fort Worth, TX 76140<br>(817) 568-9494",Longoria's BBQ,"<Point><coordinates>-97.29375,32.631021,0.0</coordinates></Point>",BBQ Stand
"2533 White Settlement Rd<br>Fort Worth, TX 76107<br>(817) 332-0357",Angelo's Barbecue,"<Point><coordinates>-97.351564,32.758996,0.0</coordinates></Point>",BBQ Stand
"1408 NE Big Bend Trl<br>Glen Rose, TX 76043<br>(254) 897-3441<br><br>4.5 (2003)",Ranch House Bar-B-Que,"<Point><coordinates>-97.740846,32.24599,0.0</coordinates></Point>",BBQ Stand
"103 Schoolhouse Rd<br>Haslet, TX 76052<br>(817) 439-5337",Lee's Hickory Smoked BBQ,"<Point><coordinates>-97.347755,32.974207,0.0</coordinates></Point>",BBQ Stand
"1205 Pope St<br>Henderson, TX 75652<br>(903) 657-8301",Bob's Barbecue,"<Point><coordinates>-94.78499,32.161298,0.0</coordinates></Point>",BBQ Stand
"301 N. Franklin (TX Hwy 95)<br>Holland, TX 76534<br>254-657-7107<br><br>3.5 (2003)",Jackson's Smokehouse,"<Point><coordinates>-97.401167,30.879637,0.0</coordinates></Point>",BBQ Stand
"728 N 14th Street<br>Kingsville, TX 78363<br>(361) 516-1688",cb's Bar-B-Que,"<Point><coordinates>-97.856132,27.523134,0.0</coordinates></Point>",BBQ Stand
"811 N Margaret Ave<br>Kirbyville, TX 75956<br>(409) 423-3309<br><br>4.5 (2003)",Lazy H Smoke House,"<Point><coordinates>-93.89366,30.668717,0.0</coordinates></Point>",BBQ Stand
"320 S Alamo Rd<br>Alamo, TX 78516<br>(956) 702-1370<br><br>Honorable Mention (2003)",Willie B's Barbeque,"<Point><coordinates>-98.123585,26.181617,0.0</coordinates></Point>",BBQ Stand
"6282 US Highway 59 N<br>Atlanta, TX 75551<br>(903) 796-5719",Tommy's Bar-B-Que,"<Point><coordinates>-94.262243,33.069157,0.0</coordinates></Point>",BBQ Stand
"900 W 12th St<br>Austin, TX 78703<br>(512) 472-9621",House Park Bar-BQ,"<Point><coordinates>-97.749858,30.276451,0.0</coordinates></Point>",BBQ Stand
"708 W Austin Ave<br>Brownwood, TX 76801<br>(325) 646-5922",Smitty's Bar-BQ,"<Point><coordinates>-98.989225,31.721016,0.0</coordinates></Point>",BBQ Stand
"609 Highway 90 W<br>Castroville, TX 78009<br>(830) 931-2829",Pete's Barbecue & Bait Stand,"<Point><coordinates>-98.865972,29.354983,0.0</coordinates></Point>",BBQ Stand
"101 S Avenue G<br>Clifton, TX 76634<br>(254) 675-8409",Bunkhouse Barbeque,"<Point><coordinates>-97.576986,31.782312,0.0</coordinates></Point>",BBQ Stand
"17157 S US Highway 377<br>Dublin, TX 76446<br>(254) 445-3737",Woody's,"<Point><coordinates>-98.318606,32.121079,0.0</coordinates></Point>",BBQ Stand
"Highway 59 S<br>El Campo, TX 77437<br>(979) 543-8312",Prasek's Hillje Smokehouse,"<Point><coordinates>-96.28572,29.17523,0.0</coordinates></Point>",BBQ Stand
"1700 Myrtle Ave<br>El Paso, TX 79901<br>(915) 546-9140",Tony's the Pit Bar-BQ,"<Point><coordinates>-106.471274,31.767904,0.0</coordinates></Point>",BBQ Stand
"406 N Main St<br>Euless, TX 76039<br>(817) 283-0884",North Main Bar BQ,"<Point><coordinates>-97.082626,32.842029,0.0</coordinates></Point>",BBQ Stand
"900 E Enon Ave<br>Fort Worth, TX 76140<br>(817) 478-9997",Hickory Stick Bar-BQ,"<Point><coordinates>-97.266566,32.63098,0.0</coordinates></Point>",BBQ Stand
"6524 Meadowbrook Drive<br>Fort Worth, TX 76115<br>(817) 654-3760",Dotch's Bar BQ,"<Point><coordinates>-97.218222,32.746045,0.0</coordinates></Point>",BBQ Stand
"8222 FM 359 Rd<br>Fulshear, TX 77441<br>(281) 346-1411",Dozier's Grocery & Market Inc,"<Point><coordinates>-95.900466,29.69382,0.0</coordinates></Point>",BBQ Stand
"600 N US Highway 281<br>Hamilton, TX 76531<br>(254) 386-4466",Lazy T's BBQ,"<Point><coordinates>-98.11955,31.71591,0.0</coordinates></Point>",BBQ Stand
"702 S Rice St<br>Hamilton, TX 76531<br>(254) 386-5246",Smoke Shack,"<Point><coordinates>-98.126288,31.698056,0.0</coordinates></Point>",BBQ Stand
"1905 19th St<br>Hondo, TX 78861<br>(830) 426-5345",Billy Bob's Backyard Barbq,"<Point><coordinates>-99.148944,29.346891,0.0</coordinates></Point>",BBQ Stand
"Highway 281 & Hwy 290<br>Johnson City, TX 78636<br>(830) 868-7553",Ronnie's Ice House Barbeque,"<Point><coordinates>-98.40362,30.27686,0.0</coordinates></Point>",BBQ Stand
"1600 Ford St<br>Llano, TX 78643<br>(325) 247-5234",Laird's Barbeque & Catering,"<Point><coordinates>-98.675876,30.74234,0.0</coordinates></Point>",BBQ Stand
"718 Live Oak St<br>Marlin, TX 76661<br>(254) 883-5180",Boss Hog's Bar B Que & Burgers,"<Point><coordinates>-96.885628,31.306289,0.0</coordinates></Point>",BBQ Stand
"Midland, TX 79703<br>(432) 664-7427",Porter's Bar-BQ & Catering,"<Point><coordinates>-102.130631,31.976673,0.0</coordinates></Point>",BBQ Stand
"660 W San Antonio St<br>New Braunfels, TX 78130<br>(830) 629-6615",Granzin Bar-BQ,"<Point><coordinates>-98.129061,29.698207,0.0</coordinates></Point>",BBQ Stand
"200 W Avenue G<br>Port Aransas, TX 78373<br>(361) 749-2333",Little Joe's Smoke'n Grill,"<Point><coordinates>-97.067816,27.828775,0.0</coordinates></Point>",BBQ Stand
"1209 N Center St<br>Sabinal, TX 78881<br>(830) 988-2430",R Bar B Que,"<Point><coordinates>-99.46765,29.32344,0.0</coordinates></Point>",BBQ Stand
"300 W 2nd St<br>Taylor, TX 76574<br>(512) 352-5561",Rudy Mikeska's Bar-BQ,"<Point><coordinates>-97.411703,30.568549,0.0</coordinates></Point>",BBQ Stand
"705 E Moore Ave<br>Terrell, TX 75160<br>(972) 524-0125",Ranch Hand Barbecue Restaurant,"<Point><coordinates>-96.268522,32.735331,0.0</coordinates></Point>",BBQ Stand
"301 E Main St<br>Uvalde, TX 78801<br>(830) 278-6204",Evett's Bar-B-Que,"<Point><coordinates>-99.782108,29.210848,0.0</coordinates></Point>",BBQ Stand
"1201 Fort Worth Hwy<br>Weatherford, TX 76086<br>(817) 596-7046",Mesquite Pit,"<Point><coordinates>-97.775108,32.758548,0.0</coordinates></Point>",BBQ Stand
"7451 Weiland Rd<br>Weatherford, TX 76086<br>(817) 613-0172",Plug's Bar BQ,"<Point><coordinates>-97.75987,32.85511,0.0</coordinates></Point>",BBQ Stand
"908 13th St<br>Wichita Falls, TX 76301<br>(940) 322-3400",Bar L,"<Point><coordinates>-98.489323,33.906347,0.0</coordinates></Point>",BBQ Stand
"9601 Texas Highway 154 S<br>Sulphur Springs, TX 75482<br>(903) 383-2706",Big Smith's Bar-BQ,"<Point><coordinates>-95.582045,32.963916,0.0</coordinates></Point>",BBQ Stand
"3502 Slide Rd<br>Lubbock, TX 79414<br>(806) 795-9750",Whistlin' Dixie,"<Point><coordinates>-101.922533,33.562363,0.0</coordinates></Point>",BBQ Stand
"203 S Chestnut St<br>Lufkin, TX 75901<br>(936) 634-4744",Lufkin Bar Bq,"<Point><coordinates>-94.718821,31.334858,0.0</coordinates></Point>",BBQ Stand
"1113 E Scharbauer Dr<br>Midland, TX 79705<br>(432) 570-1082<br><br>4",Sam's Bar-BQ,"<Point><coordinates>-102.071785,32.021222,0.0</coordinates></Point>",BBQ Stand
"1012 W Cameron Ave<br>Rockdale, TX 76567<br>(254) 733-9044",No Teeth Barbecue,"<Point><coordinates>-97.012399,30.650564,0.0</coordinates></Point>",BBQ Stand
"1405 N Bryant Blvd<br>San Angelo, TX 76903<br>(325) 659-4422",RJ Catering,"<Point><coordinates>-100.450521,31.471987,0.0</coordinates></Point>",BBQ Stand
"8791 Old Pearsall Rd<br>San Antonio, TX 78252<br>(210) 622-0660<br><br>4",Bar-BQ Patio,"<Point><coordinates>-98.669891,29.304058,0.0</coordinates></Point>",BBQ Stand
"Ste 77<br>400 E Leona St, Uvalde, TX 78801<br>(830) 278-5746",Haby's Hot Pit BBQ,"<Point><coordinates>-99.78356,29.217091,0.0</coordinates></Point>",BBQ Stand
"2485 North St<br>Vidor, TX 77662<br>(409) 769-2309<br><br>4",Burr's Country Store Bar-BQ,"<Point><coordinates>-93.951328,30.130058,0.0</coordinates></Point>",BBQ Stand
"1000 Elm St<br>Waco, TX 76704<br>(254) 755-8888",Tony De Maria Bar-B-Que,"<Point><coordinates>-97.120483,31.569782,0.0</coordinates></Point>",BBQ Stand
"608 County Road 226<br>Wingate, TX 79566<br>(325) 743-2175",Shed,"<Point><coordinates>-100.114593,32.055477,0.0</coordinates></Point>",BBQ Stand
